TrainingActivityId,TrainingTitle,TrainingType,IndividualFirstName,IndividualLastName,Email,CorpEmail,TrainingCompletionDate,Month,IcMCP,MCPID,MPNId,PartnerName,PartnerCityLocation,PartnerCountryLocation,ExpirationDate,ActivationStatus
3080,Teamwork Administrator Associate,Certification,,,maurise.coffey@outlook.com,mcoffey@contoso.com,17/09/2019 02:31,Sep-19,1,4613471,1234567,Contoso Ltd,Reading,United Kingdom,17/09/2021 02:31,Active
3091,Azure Security Engineer Associate,Certification,,,eugenia.kensley@outlook.com,ekensley@contoso.com,09/09/2019 02:47,Sep-19,1,11322139,1234567,Contoso Ltd,Reading,United Kingdom,09/09/2021 02:47,Active
3079,Security Administrator Associate,Certification,,,gerladina.candlish@outlook.com,gcandlish@contoso.com,04/01/2020 00:37,Jan-20,1,5363838,1234567,Contoso Ltd,Reading,United Kingdom,04/01/2022 00:37,Active
3130,Teams Administrator Associate,Certification,,,felike.dhillon@outlook.com,fdhillon@contoso.com,08/07/2020 16:21,Jul-20,1,1975695,1234567,Contoso Ltd,Reading,United Kingdom,08/07/2022 16:21,Active
3088,Azure Data Engineer Associate,Certification,,,warren.wilbraham@outlook.com,wwilbraham@contoso.com,08/07/2020 13:56,Jul-20,1,17257272,1234567,Contoso Ltd,Reading,United Kingdom,08/07/2022 13:56,Active
3151,Power Platform App Maker Associate,Certification,,,augustus.benedite@outlook.com,abenedite@contoso.com,09/09/2020 20:01,Sep-20,1,6754468,1234567,Contoso Ltd,Reading,United Kingdom,09/09/2022 20:01,Active
3087,Azure Data Scientist Associate,Certification,,,lynett.philippart@outlook.com,lphilippart@contoso.com,01/11/2020 11:35,Nov-20,1,1366605,1234567,Contoso Ltd,Reading,United Kingdom,01/11/2022 11:35,Active
3142,Data Analyst Associate,Certification,Franklyn,Parkeson,franklyn.parkeson@outlook.com,,15/11/2020 08:11,Nov-20,1,13023495,1234567,Contoso Ltd,Reading,United Kingdom,15/11/2022 08:11,Active
3143,Azure Database Administrator Associate,Certification,Valdemar,Cozzi,valdemar.cozzi@outlook.com,,29/10/2020 07:32,Oct-20,1,11756863,1234567,Contoso Ltd,Reading,United Kingdom,29/10/2022 07:32,Active
3077,Azure Solutions Architect Expert,Certification,Sianna,Currie,sianna.currie@outlook.com,,13/04/2019 07:31,Apr-19,1,15812392,1234567,Contoso Ltd,Reading,United Kingdom,13/10/2021 07:31,Active
3082,Azure DevOps Engineer Expert,Certification,,,lilyan.shelf@outlook.com,,15/01/2020 11:30,Jan-20,1,11877659,1234567,Contoso Ltd,Reading,United Kingdom,15/01/2022 11:30,Active
3081,Enterprise Administrator Expert,Certification,Anjanette,Bone,anjanette.bone@outlook.com,,07/07/2020 22:43,Jul-20,1,5933351,1234567,Contoso Ltd,Reading,United Kingdom,07/07/2022 22:43,Active
3051,Azure Administrator Associate,Certification,Hanni,Markushkin,hanni.markushkin@outlook.com,,11/01/2019 22:37,Jan-19,1,10639331,1234567,Contoso Ltd,Reading,United Kingdom,11/07/2021 22:37,Active
3078,Azure Developer Associate,Certification,Chris,Bastone,chris.bastone@outlook.com,,17/01/2019 19:44,Jan-19,1,14888107,1234567,Contoso Ltd,Reading,United Kingdom,17/07/2021 19:44,Active
3086,Azure AI Engineer Associate,Certification,Morlee,Edmondson,morlee.edmondson@outlook.com,medmondson@contoso.com,28/03/2019 19:40,Mar-19,1,16911184,1234567,Contoso Ltd,Reading,United Kingdom,28/10/2021 19:40,Active
3085,Messaging Administrator Associate,Certification,Mead,Sargent,mead.sargent@outlook.com,msargent@contoso.com,28/07/2019 16:30,Jul-19,1,5796600,1234567,Contoso Ltd,Reading,United Kingdom,28/07/2021 16:30,Active
3080,Teamwork Administrator Associate,Certification,Robinet,Maypole,robinet.maypole@outlook.com,rmaypole@contoso.com,08/09/2019 04:57,Sep-19,1,15583276,1234567,Contoso Ltd,Reading,United Kingdom,08/09/2021 04:57,Active
3091,Azure Security Engineer Associate,Certification,,,hector.bryant@outlook.com,hbryant@contoso.com,12/09/2019 13:44,Sep-19,1,8572707,1234567,Contoso Ltd,Reading,United Kingdom,12/09/2021 13:44,Active
3079,Security Administrator Associate,Certification,,,scarlett.cherrison@outlook.com,scherrison@contoso.com,24/01/2020 05:30,Jan-20,1,6364377,1234567,Contoso Ltd,Reading,United Kingdom,24/01/2022 05:30,Active
3130,Teams Administrator Associate,Certification,,,korey.schlagman@outlook.com,kschlagman@contoso.com,25/07/2020 08:56,Jul-20,1,6513413,1234567,Contoso Ltd,Reading,United Kingdom,25/07/2022 08:56,Active
3088,Azure Data Engineer Associate,Certification,Shanda,Fairbairn,shanda.fairbairn@outlook.com,sfairbairn@contoso.com,18/07/2020 00:10,Jul-20,1,7470319,1234567,Contoso Ltd,Reading,United Kingdom,18/07/2022 00:10,Active
3151,Power Platform App Maker Associate,Certification,Alane,Livsey,alane.livsey@outlook.com,alivsey@contoso.com,07/09/2020 14:04,Sep-20,1,6409062,1234567,Contoso Ltd,Reading,United Kingdom,07/09/2022 14:04,Active
3087,Azure Data Scientist Associate,Certification,Martie,Batch,martie.batch@outlook.com,mbatch@contoso.com,10/09/2020 13:35,Sep-20,1,2458351,1234567,Contoso Ltd,Reading,United Kingdom,10/09/2022 13:35,Active
3142,Data Analyst Associate,Certification,,,hadlee.wigan@outlook.com,hwigan@contoso.com,22/11/2020 14:50,Nov-20,1,5496820,1234567,Contoso Ltd,Reading,United Kingdom,22/11/2022 14:50,Active
3143,Azure Database Administrator Associate,Certification,Lauraine,Fullun,lauraine.fullun@outlook.com,,05/11/2020 07:35,Nov-20,1,15974386,1234567,Contoso Ltd,Reading,United Kingdom,05/11/2022 07:35,Active
3077,Azure Solutions Architect Expert,Certification,Dacie,Jonas,dacie.jonas@outlook.com,,02/05/2019 08:12,May-19,1,4944140,1234567,Contoso Ltd,Reading,United Kingdom,02/11/2021 08:12,Active
3082,Azure DevOps Engineer Expert,Certification,Webb,Scheu,webb.scheu@outlook.com,,14/12/2019 19:23,Dec-19,1,11138691,1234567,Contoso Ltd,Reading,United Kingdom,14/12/2021 19:23,Active
3081,Enterprise Administrator Expert,Certification,Alicia,Idell,alicia.idell@outlook.com,aidell@contoso.com,22/07/2020 04:56,Jul-20,1,1760465,1234567,Contoso Ltd,Reading,United Kingdom,22/07/2022 04:56,Active
3051,Azure Administrator Associate,Certification,Glennis,Ahern,glennis.ahern@outlook.com,gahern@contoso.com,13/01/2019 22:38,Jan-19,1,10322669,1234567,Contoso Ltd,Reading,United Kingdom,13/07/2021 22:38,Active
3078,Azure Developer Associate,Certification,,,shelden.mcilwrath@outlook.com,smcilwrath@contoso.com,21/02/2019 17:43,Feb-19,1,8382452,1234567,Contoso Ltd,Reading,United Kingdom,21/08/2021 17:43,Active
3086,Azure AI Engineer Associate,Certification,,,melisent.kleinert@outlook.com,mkleinert@contoso.com,18/04/2019 04:27,Apr-19,1,4055608,1234567,Contoso Ltd,Reading,United Kingdom,18/10/2021 04:27,Active
3085,Messaging Administrator Associate,Certification,,,hurleigh.brunini@outlook.com,hbrunini@contoso.com,02/09/2019 20:11,Sep-19,1,15922202,1234567,Contoso Ltd,Reading,United Kingdom,02/09/2021 20:11,Active
3080,Teamwork Administrator Associate,Certification,,,leticia.raphael@outlook.com,lraphael@contoso.com,17/10/2019 00:29,Oct-19,1,1803573,1234567,Contoso Ltd,Reading,United Kingdom,17/10/2021 00:29,Active
3091,Azure Security Engineer Associate,Certification,Tremayne,Snarie,tremayne.snarie@outlook.com,tsnarie@contoso.com,01/10/2019 20:31,Oct-19,1,6608656,1234567,Contoso Ltd,Reading,United Kingdom,01/10/2021 20:31,Active
3079,Security Administrator Associate,Certification,Oswald,Shewry,oswald.shewry@outlook.com,oshewry@contoso.com,14/02/2020 23:28,Feb-20,1,4914019,1234567,Contoso Ltd,Reading,United Kingdom,14/02/2022 23:28,Active
3130,Teams Administrator Associate,Certification,Clayborne,Bayle,clayborne.bayle@outlook.com,,27/06/2020 12:56,Jun-20,1,10845724,1234567,Contoso Ltd,Reading,United Kingdom,27/06/2022 12:56,Active
3088,Azure Data Engineer Associate,Certification,Evie,Hedau,evie.hedau@outlook.com,,28/07/2020 21:21,Jul-20,1,12318478,1234567,Contoso Ltd,Reading,United Kingdom,28/07/2022 21:21,Active
3151,Power Platform App Maker Associate,Certification,Kesley,Scandrite,kesley.scandrite@outlook.com,,03/09/2020 04:10,Sep-20,1,6583260,1234567,Contoso Ltd,Reading,United Kingdom,03/09/2022 04:10,Active
3087,Azure Data Scientist Associate,Certification,Julietta,Trout,julietta.trout@outlook.com,,06/10/2020 07:30,Oct-20,1,834330,1234567,Contoso Ltd,Reading,United Kingdom,06/10/2022 07:30,Active
3142,Data Analyst Associate,Certification,Del,Fradson,del.fradson@outlook.com,,31/10/2020 11:54,Oct-20,1,1703900,1234567,Contoso Ltd,Reading,United Kingdom,31/10/2022 11:54,Active
3143,Azure Database Administrator Associate,Certification,,,maurise.coffey@outlook.com,mcoffey@contoso.com,07/11/2020 09:30,Nov-20,1,4613471,1234567,Contoso Ltd,Reading,United Kingdom,07/11/2022 09:30,Active
3077,Azure Solutions Architect Expert,Certification,,,eugenia.kensley@outlook.com,ekensley@contoso.com,28/03/2019 17:46,Mar-19,1,11322139,1234567,Contoso Ltd,Reading,United Kingdom,28/09/2021 17:46,Active
3082,Azure DevOps Engineer Expert,Certification,,,gerladina.candlish@outlook.com,gcandlish@contoso.com,20/01/2020 20:58,Jan-20,1,5363838,1234567,Contoso Ltd,Reading,United Kingdom,20/01/2022 20:58,Active
3081,Enterprise Administrator Expert,Certification,,,felike.dhillon@outlook.com,fdhillon@contoso.com,27/06/2020 10:04,Jun-20,1,1975695,1234567,Contoso Ltd,Reading,United Kingdom,27/06/2022 10:04,Active
3051,Azure Administrator Associate,Certification,,,warren.wilbraham@outlook.com,wwilbraham@contoso.com,02/12/2018 14:35,Dec-18,1,17257272,1234567,Contoso Ltd,Reading,United Kingdom,02/12/2021 14:35,Active
3078,Azure Developer Associate,Certification,,,augustus.benedite@outlook.com,abenedite@contoso.com,20/01/2019 00:48,Jan-19,1,6754468,1234567,Contoso Ltd,Reading,United Kingdom,20/07/2021 00:48,Active
3086,Azure AI Engineer Associate,Certification,,,lynett.philippart@outlook.com,lphilippart@contoso.com,20/04/2019 01:45,Apr-19,1,1366605,1234567,Contoso Ltd,Reading,United Kingdom,20/10/2021 01:45,Active
3085,Messaging Administrator Associate,Certification,Franklyn,Parkeson,franklyn.parkeson@outlook.com,,03/08/2019 21:07,Aug-19,1,13023495,1234567,Contoso Ltd,Reading,United Kingdom,03/08/2021 21:07,Active
3080,Teamwork Administrator Associate,Certification,Valdemar,Cozzi,valdemar.cozzi@outlook.com,,06/09/2019 19:04,Sep-19,1,11756863,1234567,Contoso Ltd,Reading,United Kingdom,06/09/2021 19:04,Active
3091,Azure Security Engineer Associate,Certification,Sianna,Currie,sianna.currie@outlook.com,,27/09/2019 02:13,Sep-19,1,15812392,1234567,Contoso Ltd,Reading,United Kingdom,27/09/2021 02:13,Active
3079,Security Administrator Associate,Certification,,,lilyan.shelf@outlook.com,,30/01/2020 12:53,Jan-20,1,11877659,1234567,Contoso Ltd,Reading,United Kingdom,30/01/2022 12:53,Active
3130,Teams Administrator Associate,Certification,Anjanette,Bone,anjanette.bone@outlook.com,,14/08/2020 16:18,Aug-20,1,5933351,1234567,Contoso Ltd,Reading,United Kingdom,14/08/2022 16:18,Active
3088,Azure Data Engineer Associate,Certification,Hanni,Markushkin,hanni.markushkin@outlook.com,,22/08/2020 05:13,Aug-20,1,10639331,1234567,Contoso Ltd,Reading,United Kingdom,22/08/2022 05:13,Active
3151,Power Platform App Maker Associate,Certification,Chris,Bastone,chris.bastone@outlook.com,,13/08/2020 08:38,Aug-20,1,14888107,1234567,Contoso Ltd,Reading,United Kingdom,13/08/2022 08:38,Active
3087,Azure Data Scientist Associate,Certification,Morlee,Edmondson,morlee.edmondson@outlook.com,medmondson@contoso.com,20/10/2020 05:07,Oct-20,1,16911184,1234567,Contoso Ltd,Reading,United Kingdom,20/10/2022 05:07,Active
3142,Data Analyst Associate,Certification,Mead,Sargent,mead.sargent@outlook.com,msargent@contoso.com,21/11/2020 11:54,Nov-20,1,5796600,1234567,Contoso Ltd,Reading,United Kingdom,21/11/2022 11:54,Active
3143,Azure Database Administrator Associate,Certification,Robinet,Maypole,robinet.maypole@outlook.com,rmaypole@contoso.com,11/10/2020 15:37,Oct-20,1,15583276,1234567,Contoso Ltd,Reading,United Kingdom,11/10/2022 15:37,Active
3077,Azure Solutions Architect Expert,Certification,,,hector.bryant@outlook.com,hbryant@contoso.com,07/04/2019 16:21,Apr-19,1,8572707,1234567,Contoso Ltd,Reading,United Kingdom,07/10/2021 16:21,Active
3082,Azure DevOps Engineer Expert,Certification,,,scarlett.cherrison@outlook.com,scherrison@contoso.com,12/12/2019 15:14,Dec-19,1,6364377,1234567,Contoso Ltd,Reading,United Kingdom,12/12/2021 15:14,Active
3081,Enterprise Administrator Expert,Certification,,,korey.schlagman@outlook.com,kschlagman@contoso.com,03/08/2020 00:34,Aug-20,1,6513413,1234567,Contoso Ltd,Reading,United Kingdom,03/08/2022 00:34,Active
3051,Azure Administrator Associate,Certification,Keeley,Howship,keeley.howship@outlook.com,khowship@contoso.com,08/12/2018 04:37,Dec-18,1,689300,1234567,Contoso Ltd,Reading,United Kingdom,08/12/2021 04:37,Active
3078,Azure Developer Associate,Certification,Brose,McGirl,brose.mcgirl@outlook.com,bmcgirl@contoso.com,30/01/2019 18:25,Jan-19,1,10679768,1234567,Contoso Ltd,Reading,United Kingdom,30/07/2021 18:25,Active
3086,Azure AI Engineer Associate,Certification,Shanda,Fairbairn,shanda.fairbairn@outlook.com,sfairbairn@contoso.com,06/04/2019 04:02,Apr-19,1,7470319,1234567,Contoso Ltd,Reading,United Kingdom,06/10/2021 04:02,Active
3085,Messaging Administrator Associate,Certification,Alane,Livsey,alane.livsey@outlook.com,alivsey@contoso.com,02/08/2019 19:51,Aug-19,1,6409062,1234567,Contoso Ltd,Reading,United Kingdom,02/08/2021 19:51,Active
3080,Teamwork Administrator Associate,Certification,Martie,Batch,martie.batch@outlook.com,mbatch@contoso.com,08/09/2019 10:44,Sep-19,1,2458351,1234567,Contoso Ltd,Reading,United Kingdom,08/09/2021 10:44,Active
3091,Azure Security Engineer Associate,Certification,,,hadlee.wigan@outlook.com,hwigan@contoso.com,16/09/2019 00:36,Sep-19,1,5496820,1234567,Contoso Ltd,Reading,United Kingdom,16/09/2021 00:36,Active
3079,Security Administrator Associate,Certification,Lauraine,Fullun,lauraine.fullun@outlook.com,,25/12/2019 17:11,Dec-19,1,15974386,1234567,Contoso Ltd,Reading,United Kingdom,25/12/2021 17:11,Active
3130,Teams Administrator Associate,Certification,Dacie,Jonas,dacie.jonas@outlook.com,,06/07/2020 13:28,Jul-20,1,4944140,1234567,Contoso Ltd,Reading,United Kingdom,06/07/2022 13:28,Active
3088,Azure Data Engineer Associate,Certification,Webb,Scheu,webb.scheu@outlook.com,,15/07/2020 07:20,Jul-20,1,11138691,1234567,Contoso Ltd,Reading,United Kingdom,15/07/2022 07:20,Active
3151,Power Platform App Maker Associate,Certification,Alicia,Idell,alicia.idell@outlook.com,aidell@contoso.com,13/09/2020 14:32,Sep-20,1,1760465,1234567,Contoso Ltd,Reading,United Kingdom,13/09/2022 14:32,Active
3087,Azure Data Scientist Associate,Certification,Glennis,Ahern,glennis.ahern@outlook.com,gahern@contoso.com,20/09/2020 21:07,Sep-20,1,10322669,1234567,Contoso Ltd,Reading,United Kingdom,20/09/2022 21:07,Active
3142,Data Analyst Associate,Certification,,,shelden.mcilwrath@outlook.com,smcilwrath@contoso.com,06/11/2020 00:14,Nov-20,1,8382452,1234567,Contoso Ltd,Reading,United Kingdom,06/11/2022 00:14,Active
3143,Azure Database Administrator Associate,Certification,,,melisent.kleinert@outlook.com,mkleinert@contoso.com,02/11/2020 17:09,Nov-20,1,4055608,1234567,Contoso Ltd,Reading,United Kingdom,02/11/2022 17:09,Active
3077,Azure Solutions Architect Expert,Certification,,,hurleigh.brunini@outlook.com,hbrunini@contoso.com,21/04/2019 13:09,Apr-19,1,15922202,1234567,Contoso Ltd,Reading,United Kingdom,21/10/2021 13:09,Active
3082,Azure DevOps Engineer Expert,Certification,,,leticia.raphael@outlook.com,lraphael@contoso.com,03/01/2020 07:25,Jan-20,1,1803573,1234567,Contoso Ltd,Reading,United Kingdom,03/01/2022 07:25,Active
3081,Enterprise Administrator Expert,Certification,Tremayne,Snarie,tremayne.snarie@outlook.com,tsnarie@contoso.com,27/07/2020 05:32,Jul-20,1,6608656,1234567,Contoso Ltd,Reading,United Kingdom,27/07/2022 05:32,Active
3051,Azure Administrator Associate,Certification,Oswald,Shewry,oswald.shewry@outlook.com,oshewry@contoso.com,27/12/2018 00:48,Dec-18,1,4914019,1234567,Contoso Ltd,Reading,United Kingdom,27/12/2021 00:48,Active
3078,Azure Developer Associate,Certification,Clayborne,Bayle,clayborne.bayle@outlook.com,,04/01/2019 06:03,Jan-19,1,10845724,1234567,Contoso Ltd,Reading,United Kingdom,04/07/2021 06:03,Active
3086,Azure AI Engineer Associate,Certification,Evie,Hedau,evie.hedau@outlook.com,,30/04/2019 13:48,Apr-19,1,12318478,1234567,Contoso Ltd,Reading,United Kingdom,30/10/2021 13:48,Active
3085,Messaging Administrator Associate,Certification,Kesley,Scandrite,kesley.scandrite@outlook.com,,24/08/2019 22:04,Aug-19,1,6583260,1234567,Contoso Ltd,Reading,United Kingdom,24/08/2021 22:04,Active
3080,Teamwork Administrator Associate,Certification,Julietta,Trout,julietta.trout@outlook.com,,11/09/2019 20:22,Sep-19,1,834330,1234567,Contoso Ltd,Reading,United Kingdom,11/09/2021 20:22,Active
3091,Azure Security Engineer Associate,Certification,Del,Fradson,del.fradson@outlook.com,,25/09/2019 13:15,Sep-19,1,1703900,1234567,Contoso Ltd,Reading,United Kingdom,25/09/2021 13:15,Active
3079,Security Administrator Associate,Certification,,,maurise.coffey@outlook.com,mcoffey@contoso.com,09/01/2020 01:36,Jan-20,1,4613471,1234567,Contoso Ltd,Reading,United Kingdom,09/01/2022 01:36,Active
3130,Teams Administrator Associate,Certification,,,eugenia.kensley@outlook.com,ekensley@contoso.com,11/08/2020 15:35,Aug-20,1,11322139,1234567,Contoso Ltd,Reading,United Kingdom,11/08/2022 15:35,Active
3088,Azure Data Engineer Associate,Certification,,,gerladina.candlish@outlook.com,gcandlish@contoso.com,22/07/2020 23:50,Jul-20,1,5363838,1234567,Contoso Ltd,Reading,United Kingdom,22/07/2022 23:50,Active
3151,Power Platform App Maker Associate,Certification,,,felike.dhillon@outlook.com,fdhillon@contoso.com,20/09/2020 17:11,Sep-20,1,1975695,1234567,Contoso Ltd,Reading,United Kingdom,20/09/2022 17:11,Active
3087,Azure Data Scientist Associate,Certification,,,warren.wilbraham@outlook.com,wwilbraham@contoso.com,21/09/2020 03:20,Sep-20,1,17257272,1234567,Contoso Ltd,Reading,United Kingdom,21/09/2022 03:20,Active
3142,Data Analyst Associate,Certification,,,augustus.benedite@outlook.com,abenedite@contoso.com,21/11/2020 21:44,Nov-20,1,6754468,1234567,Contoso Ltd,Reading,United Kingdom,21/11/2022 21:44,Active
3143,Azure Database Administrator Associate,Certification,,,lynett.philippart@outlook.com,lphilippart@contoso.com,07/11/2020 22:10,Nov-20,1,1366605,1234567,Contoso Ltd,Reading,United Kingdom,07/11/2022 22:10,Active
3077,Azure Solutions Architect Expert,Certification,Franklyn,Parkeson,franklyn.parkeson@outlook.com,,29/03/2019 10:10,Mar-19,1,13023495,1234567,Contoso Ltd,Reading,United Kingdom,29/09/2021 10:10,Active
3082,Azure DevOps Engineer Expert,Certification,Valdemar,Cozzi,valdemar.cozzi@outlook.com,,06/12/2019 16:00,Dec-19,1,11756863,1234567,Contoso Ltd,Reading,United Kingdom,06/12/2021 16:00,Active
3081,Enterprise Administrator Expert,Certification,Sianna,Currie,sianna.currie@outlook.com,,08/06/2020 01:28,Jun-20,1,15812392,1234567,Contoso Ltd,Reading,United Kingdom,08/06/2022 01:28,Active
3051,Azure Administrator Associate,Certification,,,lilyan.shelf@outlook.com,,02/12/2018 03:12,Dec-18,1,11877659,1234567,Contoso Ltd,Reading,United Kingdom,02/12/2021 03:12,Active
3078,Azure Developer Associate,Certification,Anjanette,Bone,anjanette.bone@outlook.com,,04/02/2019 07:29,Feb-19,1,5933351,1234567,Contoso Ltd,Reading,United Kingdom,04/08/2021 07:29,Active
3086,Azure AI Engineer Associate,Certification,Hanni,Markushkin,hanni.markushkin@outlook.com,,09/03/2019 02:20,Mar-19,1,10639331,1234567,Contoso Ltd,Reading,United Kingdom,09/09/2021 02:20,Active
3085,Messaging Administrator Associate,Certification,Chris,Bastone,chris.bastone@outlook.com,,17/09/2019 19:42,Sep-19,1,14888107,1234567,Contoso Ltd,Reading,United Kingdom,17/09/2021 19:42,Active
3080,Teamwork Administrator Associate,Certification,Morlee,Edmondson,morlee.edmondson@outlook.com,medmondson@contoso.com,27/09/2019 06:00,Sep-19,1,16911184,1234567,Contoso Ltd,Reading,United Kingdom,27/09/2021 06:00,Active
3091,Azure Security Engineer Associate,Certification,Mead,Sargent,mead.sargent@outlook.com,msargent@contoso.com,09/10/2019 14:26,Oct-19,1,5796600,1234567,Contoso Ltd,Reading,United Kingdom,09/10/2021 14:26,Active
3079,Security Administrator Associate,Certification,Robinet,Maypole,robinet.maypole@outlook.com,rmaypole@contoso.com,03/02/2020 22:46,Feb-20,1,15583276,1234567,Contoso Ltd,Reading,United Kingdom,03/02/2022 22:46,Active
3130,Teams Administrator Associate,Certification,,,hector.bryant@outlook.com,hbryant@contoso.com,17/08/2020 10:24,Aug-20,1,8572707,1234567,Contoso Ltd,Reading,United Kingdom,17/08/2022 10:24,Active
3088,Azure Data Engineer Associate,Certification,,,scarlett.cherrison@outlook.com,scherrison@contoso.com,09/07/2020 01:36,Jul-20,1,6364377,1234567,Contoso Ltd,Reading,United Kingdom,09/07/2022 01:36,Active
3151,Power Platform App Maker Associate,Certification,,,korey.schlagman@outlook.com,kschlagman@contoso.com,31/08/2020 16:54,Aug-20,1,6513413,1234567,Contoso Ltd,Reading,United Kingdom,31/08/2022 16:54,Active
3087,Azure Data Scientist Associate,Certification,Keeley,Howship,keeley.howship@outlook.com,khowship@contoso.com,01/11/2020 05:29,Nov-20,1,689300,1234567,Contoso Ltd,Reading,United Kingdom,01/11/2022 05:29,Active
3142,Data Analyst Associate,Certification,Brose,McGirl,brose.mcgirl@outlook.com,bmcgirl@contoso.com,10/10/2020 03:11,Oct-20,1,10679768,1234567,Contoso Ltd,Reading,United Kingdom,10/10/2022 03:11,Active
3143,Azure Database Administrator Associate,Certification,Shanda,Fairbairn,shanda.fairbairn@outlook.com,sfairbairn@contoso.com,17/10/2020 19:35,Oct-20,1,7470319,1234567,Contoso Ltd,Reading,United Kingdom,17/10/2022 19:35,Active
